"Time (s)","X (hPa)"
-5.376480417E-1,1.008373642E3
4.932229583E-1,1.008372803E3
1.524080958E0,1.008371964E3
2.554896958E0,1.008370819E3
3.585722958E0,1.008370819E3
3.780643958E0,1.008370132E3
4.844717958E0,1.008369751E3
5.908832958E0,1.008369293E3
6.972964958E0,1.008368301E3
8.037089958E0,1.008368301E3
9.101162958E0,1.008367691E3
1.016526096E1,1.008367462E3
1.122935796E1,1.008367462E3
1.229341596E1,1.008367004E3
1.335747796E1,1.008366776E3
1.442151596E1,1.008366776E3
1.548557496E1,1.008366776E3
1.654966296E1,1.008368301E3
1.761367796E1,1.008370361E3
1.867771596E1,1.008375244E3
1.974175796E1,1.008380127E3
2.080583596E1,1.008382874E3
2.186988996E1,1.008395233E3
2.293388096E1,1.008410263E3
2.399789996E1,1.008419876E3
2.506194396E1,1.008435516E3
2.612596996E1,1.008456573E3
2.718996896E1,1.008468246E3
2.825396896E1,1.008475037E3
2.931794596E1,1.008483505E3
3.038190296E1,1.008488770E3
3.144586096E1,1.008488770E3
3.250985696E1,1.008486023E3
3.357385796E1,1.008473511E3
3.463787496E1,1.008454361E3
3.570185096E1,1.008428268E3
3.676581296E1,1.008399429E3
3.782980496E1,1.008371201E3
3.889377396E1,1.008351822E3
3.995770696E1,1.008340149E3
4.102167296E1,1.008333206E3
4.208567596E1,1.008328705E3
4.314966996E1,1.008324509E3
4.421362996E1,1.008317184E3
4.527764096E1,1.008306808E3
4.634166796E1,1.008293381E3
4.740565396E1,1.008280945E3
4.846965896E1,1.008269348E3
4.953367696E1,1.008261566E3
5.059771596E1,1.008261566E3
5.166169596E1,1.008267212E3
5.272569796E1,1.008271103E3
5.378971296E1,1.008276901E3
5.485371696E1,1.008284531E3
5.591770396E1,1.008287659E3
5.698170996E1,1.008289185E3
5.804568896E1,1.008291626E3
5.910968496E1,1.008298798E3
6.017371396E1,1.008300934E3
6.123771196E1,1.008302841E3
6.230174696E1,1.008302994E3
6.336579096E1,1.008306427E3
6.442980196E1,1.008310013E3
6.549386696E1,1.008315887E3
6.655795496E1,1.008320770E3
6.762200996E1,1.008328247E3
6.868607196E1,1.008328247E3
6.975010196E1,1.008326797E3
7.081410196E1,1.008322372E3
7.187810396E1,1.008317184E3
7.294211796E1,1.008311920E3
7.400615496E1,1.008305969E3
7.507016296E1,1.008299255E3
7.613418396E1,1.008292160E3
7.719822296E1,1.008284531E3
7.826222996E1,1.008276138E3
7.932622896E1,1.008267517E3
8.039027996E1,1.008258057E3
8.145433296E1,1.008249130E3
8.251836696E1,1.008239288E3
8.358240796E1,1.008229370E3
8.464645296E1,1.008218689E3
8.571048996E1,1.008207703E3
8.677451196E1,1.008196487E3
8.783854996E1,1.008184357E3
8.890254896E1,1.008171616E3
8.996656496E1,1.008158569E3
9.103056096E1,1.008144379E3
9.209456996E1,1.008129807E3
9.315857696E1,1.008114853E3
9.422261796E1,1.008099747E3
9.528661796E1,1.008084106E3
9.635062396E1,1.008067932E3
9.741461796E1,1.008052139E3
9.847860296E1,1.008035202E3
9.954258396E1,1.008018036E3
1.006065340E2,1.008000259E3
1.016705250E2,1.007982178E3
1.027345480E2,1.007963257E3
1.037985710E2,1.007944565E3
1.048625880E2,1.007924957E3
1.059265810E2,1.007905579E3
1.069905990E2,1.007885208E3
1.080546220E2,1.007863312E3
1.091186550E2,1.007840347E3
1.101826930E2,1.007817154E3
1.112467330E2,1.007792816E3
1.123107750E2,1.007768478E3
1.133747810E2,1.007744522E3
1.144387630E2,1.007720795E3
1.155027750E2,1.007697449E3
1.165667760E2,1.007673874E3
1.176307940E2,1.007650909E3
1.186948100E2,1.007627029E3
1.197588380E2,1.007602463E3
1.208228500E2,1.007576752E3
1.218868070E2,1.007551041E3
1.229508020E2,1.007524490E3
1.240148240E2,1.007497406E3
1.250788570E2,1.007470627E3
1.261428650E2,1.007443542E3
1.272068920E2,1.007416611E3
1.282709150E2,1.007389603E3
1.293349510E2,1.007362213E3
1.303990220E2,1.007334442E3
1.314630810E2,1.007306824E3
1.325270910E2,1.007278900E3
1.335911280E2,1.007250443E3
1.346551870E2,1.007221603E3
1.357192210E2,1.007192535E3
1.367832440E2,1.007163162E3
1.378472580E2,1.007133713E3
1.389112820E2,1.007104416E3
1.399753140E2,1.007074890E3
1.410393430E2,1.007045441E3
1.421033990E2,1.007015305E3
1.431674580E2,1.006984787E3
1.442314730E2,1.006953659E3
1.452955220E2,1.006921387E3
1.463595510E2,1.006888428E3
1.474236320E2,1.006856003E3
1.484877170E2,1.006824188E3
1.495518030E2,1.006792221E3
1.506158270E2,1.006761475E3
1.516798760E2,1.006731567E3
1.527439400E2,1.006699982E3
1.538080350E2,1.006668243E3
1.548720870E2,1.006635818E3
1.559361250E2,1.006602936E3
1.570002070E2,1.006570053E3
1.580642810E2,1.006537628E3
1.591283690E2,1.006505585E3
1.601924060E2,1.006473389E3
1.612564650E2,1.006441040E3
1.623205310E2,1.006409073E3
1.633846290E2,1.006376801E3
1.644486810E2,1.006343765E3
1.655127140E2,1.006311340E3
1.665767300E2,1.006278915E3
1.676407390E2,1.006246033E3
1.687047610E2,1.006212616E3
1.697688050E2,1.006179810E3
1.708328300E2,1.006146317E3
1.718968920E2,1.006113281E3
1.729609210E2,1.006078949E3
1.740249470E2,1.006045227E3
1.750889650E2,1.006011963E3
1.761530010E2,1.005979080E3
1.772170170E2,1.005946045E3
1.782809950E2,1.005914307E3
1.793449990E2,1.005882721E3
1.804089950E2,1.005851517E3
1.814729870E2,1.005819626E3
1.825370390E2,1.005788040E3
1.836011120E2,1.005756454E3
1.846652130E2,1.005725479E3
1.857293090E2,1.005693665E3
1.867934020E2,1.005661011E3
1.878575100E2,1.005629272E3
1.889215790E2,1.005598145E3
1.899856500E2,1.005565414E3
1.910497620E2,1.005532379E3
1.921138540E2,1.005501862E3
1.931779690E2,1.005471573E3
1.942420750E2,1.005441132E3
1.953061750E2,1.005411835E3
1.963702820E2,1.005384598E3
1.974344280E2,1.005357285E3
1.984986150E2,1.005328445E3
1.995627350E2,1.005300293E3
2.006268920E2,1.005272675E3
2.016910030E2,1.005244675E3
2.027550900E2,1.005216904E3
2.038191520E2,1.005190277E3
2.048831880E2,1.005163651E3
2.059472380E2,1.005136719E3
2.070112790E2,1.005111618E3
2.080752530E2,1.005086746E3
2.091392610E2,1.005061951E3
2.102032620E2,1.005037766E3
2.112672530E2,1.005014725E3
2.123312420E2,1.004991608E3
2.133952460E2,1.004969482E3
2.144592770E2,1.004948196E3
2.155233280E2,1.004926682E3
2.165873450E2,1.004905243E3
2.176513830E2,1.004885330E3
2.187153590E2,1.004866180E3
2.197793490E2,1.004847565E3
2.208433500E2,1.004829330E3
2.219073640E2,1.004810562E3
2.229713710E2,1.004791412E3
2.240353920E2,1.004771881E3
2.250993910E2,1.004753342E3
2.261634050E2,1.004734650E3
2.272273800E2,1.004716721E3
2.282913380E2,1.004699860E3
2.293553070E2,1.004683838E3
2.304192650E2,1.004667664E3
